: | countries
Viên | Áo | Berlin | Đức
chú_rể | cô_dâu | đàn_ông | đàn_bà
chú_rể | cô_dâu | hoàng_tử | công_chúa
chú_rể | cô_dâu | con_riêng | chị kế
chú_rể | cô_dâu | chú | cô
chú_rể | cô_dâu | anh_trai | em_gái
chú_rể | cô_dâu | anh_em | chị_em gái
chú_rể | cô_dâu | bố | mẹ
chú_rể | cô_dâu | cha | mẹ
chú_rể | cô_dâu | ông | bà nội
anh ấy | cô ấy | vua | nữ_hoàng
anh ấy | cô ấy | đàn_ông | đàn_bà
anh ấy | cô ấy | hoàng_tử | công_chúa
anh ấy | cô ấy | con_riêng | chị kế
anh ấy | cô ấy | chú | cô
anh ấy | cô ấy | anh_trai | em_gái
anh ấy | cô ấy | anh_em | chị_em gái
anh ấy | cô ấy | bố | mẹ
anh ấy | cô ấy | cha | mẹ
anh ấy | cô ấy | ông | bà
anh ấy | cô ấy | chú_rể | cô_dâu
của anh ấy | của cô ấy | vua | nữ_hoàng
của anh ấy | của cô ấy | đàn_ông | đàn_bà
của anh ấy | của cô ấy | hoàng_tử | công_chúa
của anh ấy | của cô ấy | con_riêng | chị kế
của anh ấy | của cô ấy | chú | cô
của anh ấy | của cô ấy | anh_trai | em_gái
của anh ấy | của cô ấy | anh_em | chị_em gái
của anh ấy | của cô ấy | bố | mẹ
của anh ấy | của cô ấy | cha | mẹ
của anh ấy | của cô ấy | ông | bà
của anh ấy | của cô ấy | chú_rể | cô_dâu
chồng | vợ | vua | nữ_hoàng
chồng | vợ | đàn_ông | đàn_bà
chồng | vợ | hoàng_tử | công_chúa
chồng | vợ | con_riêng | chị kế
chồng | vợ | chú | cô
chồng | vợ | anh_trai | em_gái
chồng | vợ | anh_em | chị_em gái
chồng | vợ | bố | mẹ
chồng | vợ | cha | mẹ
chồng | vợ | ông | bà
chồng | vợ | chú_rể | cô_dâu
vua | nữ_hoàng | đàn_ông | đàn_bà
vua | nữ_hoàng | hoàng_tử | công_chúa
vua | nữ_hoàng | con_riêng | chị kế
vua | nữ_hoàng | chú | cô
vua | nữ_hoàng | anh_trai | em_gái
vua | nữ_hoàng | anh_em | chị_em gái
vua | nữ_hoàng | bố | mẹ
vua | nữ_hoàng | cha | mẹ
vua | nữ_hoàng | ông | bà
vua | nữ_hoàng | chú_rể | cô_dâu
người đàn_ông | phụ_nữ | hoàng_tử | công_chúa
người đàn_ông | phụ_nữ | con_riêng | chị kế
người đàn_ông | phụ_nữ | chú | cô
người đàn_ông | phụ_nữ | anh_trai | em_gái
người đàn_ông | phụ_nữ | anh_em | chị_em gái
người đàn_ông | phụ_nữ | bố | mẹ
người đàn_ông | phụ_nữ | cha | mẹ
người đàn_ông | phụ_nữ | ông | bà
người đàn_ông | phụ_nữ | chú_rể | cô_dâu
người đàn_ông | phụ_nữ | vua | nữ_hoàng
cháu trai | cháu gái | hoàng_tử | công_chúa
cháu trai | cháu gái | con_riêng | chị kế
cháu trai | cháu gái | chú | cô
cháu trai | cháu gái | anh_trai | em_gái
cháu trai | cháu gái | anh_em | chị_em gái
cháu trai | cháu gái | bố | mẹ
cháu trai | cháu gái | cha | mẹ
cháu trai | cháu gái | ông | bà
cháu trai | cháu gái | chú_rể | cô_dâu
cháu trai | cháu gái | vua | nữ_hoàng
cháu trai | cháu gái | đàn_ông | đàn_bà
cảnh_sát | nữ cảnh_sát | hoàng_tử | công_chúa
cảnh_sát | nữ cảnh_sát | con_riêng | chị kế
cảnh_sát | nữ cảnh_sát | chú | cô
cảnh_sát | nữ cảnh_sát | anh_trai | em_gái
cảnh_sát | nữ cảnh_sát | anh_em | chị_em gái
cảnh_sát | nữ cảnh_sát | bố | mẹ
cảnh_sát | nữ cảnh_sát | cha | mẹ
cảnh_sát | nữ cảnh_sát | ông | bà
cảnh_sát | nữ cảnh_sát | chú_rể | cô_dâu
cảnh_sát | nữ cảnh_sát | vua | nữ_hoàng
cảnh_sát | nữ cảnh_sát | đàn_ông | đàn_bà
hoàng_tử | công_chúa | con_riêng | chị kế
hoàng_tử | công_chúa | chú | cô
hoàng_tử | công_chúa | anh_trai | em_gái
hoàng_tử | công_chúa | anh_em | chị_em gái
hoàng_tử | công_chúa | bố | mẹ
hoàng_tử | công_chúa | cha | mẹ
hoàng_tử | công_chúa | ông | bà
hoàng_tử | công_chúa | chú_rể | cô_dâu
hoàng_tử | công_chúa | vua | nữ_hoàng
hoàng_tử | công_chúa | đàn_ông | đàn_bà
con trai | con gái | con_riêng | chị kế
con trai | con gái | chú | cô
con trai | con gái | anh_trai | em_gái
con trai | con gái | anh_em | chị_em gái
con trai | con gái | bố | mẹ
con trai | con gái | cha | mẹ
con trai | con gái | ông | bà
con trai | con gái | chú_rể | cô_dâu
con trai | con gái | vua | nữ_hoàng
con trai | con gái | đàn_ông | đàn_bà
con trai | con gái | hoàng_tử | công_chúa
con trai | con gái | con_riêng | chị kế
con trai | con gái | chú | cô
con trai | con gái | anh_trai | em_gái
con trai | con gái | anh_em | chị_em gái
con trai | con gái | bố | mẹ
con trai | con gái | cha | mẹ
con trai | con gái | ông | bà
con trai | con gái | chú_rể | cô_dâu
con trai | con gái | vua | nữ_hoàng
con trai | con gái | đàn_ông | đàn_bà
con trai | con gái | hoàng_tử | công_chúa
cha dượng | mẹ_kế | chú | cô
cha dượng | mẹ_kế | anh_trai | em_gái
cha dượng | mẹ_kế | anh_em | chị_em gái
cha dượng | mẹ_kế | bố | mẹ
cha dượng | mẹ_kế | cha | mẹ
cha dượng | mẹ_kế | ông | bà
cha dượng | mẹ_kế | chú_rể | cô_dâu
cha dượng | mẹ_kế | vua | nữ_hoàng
cha dượng | mẹ_kế | đàn_ông | đàn_bà
cha dượng | mẹ_kế | hoàng_tử | công_chúa
cha dượng | mẹ_kế | con_riêng | chị kế
con trai riêng | con gái riêng | chú | cô
con trai riêng | con gái riêng | anh_trai | em_gái
con trai riêng | con gái riêng | anh_em | chị_em gái
con trai riêng | con gái riêng | bố | mẹ
con trai riêng | con gái riêng | cha | mẹ
con trai riêng | con gái riêng | ông | bà
con trai riêng | con gái riêng | chú_rể | cô_dâu
con trai riêng | con gái riêng | vua | nữ_hoàng
con trai riêng | con gái riêng | đàn_ông | đàn_bà
con trai riêng | con gái riêng | hoàng_tử | công_chúa
con trai riêng | con gái riêng | con_riêng | chị kế
chú | dì | anh_trai | em_gái
chú | dì | anh_em | chị_em gái
chú | dì | bố | mẹ
chú | dì | cha | mẹ
chú | dì | ông | bà
chú | dì | chú_rể | cô_dâu
chú | dì | vua | nữ_hoàng
chú | dì | đàn_ông | đàn_bà
chú | dì | hoàng_tử | công_chúa
chú | dì | con_riêng | chị kế
chấp_nhận được | không_thể chấp_nhận | nhận_thức | không biết
chấp_nhận được | không_thể chấp_nhận | nhất_định | không chắc_chắn
chấp_nhận được | không_thể chấp_nhận | rõ_ràng | không rõ
chấp_nhận được | không_thể chấp_nhận | thoải_mái | khó_chịu
chấp_nhận được | không_thể chấp_nhận | cạnh_tranh | không cạnh_tranh
chấp_nhận được | không_thể chấp_nhận | nhất_quán | không nhất_quán
chấp_nhận được | không_thể chấp_nhận | thuyết_phục | thiếu thuyết_phục
chấp_nhận được | không_thể chấp_nhận | thuận_tiện | bất_tiện
chấp_nhận được | không_thể chấp_nhận | quyết_định | chưa quyết_định
chấp_nhận được | không_thể chấp_nhận | hiệu_quả | không hiệu_quả
chấp_nhận được | không_thể chấp_nhận | đạo_đức | phi đạo_đức
chấp_nhận được | không_thể chấp_nhận | may_mắn | không may
chấp_nhận được | không_thể chấp_nhận | trung_thực | Không trung_thực
chấp_nhận được | không_thể chấp_nhận | ấn_tượng | không ấn_tượng
chấp_nhận được | không_thể chấp_nhận | thông_tin | không thông_tin
chấp_nhận được | không_thể chấp_nhận | thông_báo | không hiểu
chấp_nhận được | không_thể chấp_nhận | logic | phi logic
chấp_nhận được | không_thể chấp_nhận | dễ_chịu | khó_chịu
chấp_nhận được | không_thể chấp_nhận | có_thể | không_thể tưởng_tượng được
chấp_nhận được | không_thể chấp_nhận | năng_suất | không hiệu_quả
chấp_nhận được | không_thể chấp_nhận | hợp_lý | không hợp_lý
chấp_nhận được | không_thể chấp_nhận | chắc_chắn | không chắc_chắn
chấp_nhận được | không_thể chấp_nhận | trang_nhã | phiền_nhiễu
nhận_thức | không biết | nhất_định | không chắc_chắn
nhận_thức | không biết | rõ_ràng | không rõ
nhận_thức | không biết | thoải_mái | khó_chịu
nhận_thức | không biết | cạnh_tranh | không cạnh_tranh
nhận_thức | không biết | nhất_quán | không nhất_quán
nhận_thức | không biết | thuyết_phục | thiếu thuyết_phục
nhận_thức | không biết | thuận_tiện | bất_tiện
nhận_thức | không biết | quyết_định | chưa quyết_định
nhận_thức | không biết | hiệu_quả | không hiệu_quả
nhận_thức | không biết | đạo_đức | phi đạo_đức
nhận_thức | không biết | may_mắn | không may
nhận_thức | không biết | trung_thực | Không trung_thực
nhận_thức | không biết | ấn_tượng | không ấn_tượng
nhận_thức | không biết | thông_tin | không thông_tin
nhận_thức | không biết | thông_báo | không hiểu
nhận_thức | không biết | logic | phi logic
nhận_thức | không biết | dễ_chịu | khó_chịu
nhận_thức | không biết | có_thể | không_thể tưởng_tượng được
nhận_thức | không biết | năng_suất | không hiệu_quả
nhận_thức | không biết | hợp_lý | không hợp_lý
nhận_thức | không biết | chắc_chắn | không chắc_chắn
nhận_thức | không biết | trang_nhã | phiền_nhiễu
nhất_định | không chắc_chắn | rõ_ràng | không rõ
nhất_định | không chắc_chắn | thoải_mái | khó_chịu
nhất_định | không chắc_chắn | cạnh_tranh | không cạnh_tranh
nhất_định | không chắc_chắn | nhất_quán | không nhất_quán
nhất_định | không chắc_chắn | thuyết_phục | thiếu thuyết_phục
nhất_định | không chắc_chắn | thuận_tiện | bất_tiện
nhất_định | không chắc_chắn | quyết_định | chưa quyết_định
nhất_định | không chắc_chắn | hiệu_quả | không hiệu_quả
nhất_định | không chắc_chắn | đạo_đức | phi đạo_đức
nhất_định | không chắc_chắn | may_mắn | không may
nhất_định | không chắc_chắn | trung_thực | Không trung_thực
nhất_định | không chắc_chắn | ấn_tượng | không ấn_tượng
nhất_định | không chắc_chắn | thông_tin | không thông_tin
nhất_định | không chắc_chắn | thông_báo | không hiểu
nhất_định | không chắc_chắn | logic | phi logic
nhất_định | không chắc_chắn | dễ_chịu | khó_chịu
nhất_định | không chắc_chắn | có_thể | không_thể tưởng_tượng được
nhất_định | không chắc_chắn | năng_suất | không hiệu_quả
nhất_định | không chắc_chắn | hợp_lý | không hợp_lý
nhất_định | không chắc_chắn | chắc_chắn | không chắc_chắn
nhất_định | không chắc_chắn | trang_nhã | phiền_nhiễu
nhất_định | không chắc_chắn | nhận_thức | không biết |
rõ_ràng | không rõ_ràng | thoải_mái | khó_chịu
rõ_ràng | không rõ_ràng | cạnh_tranh | không cạnh_tranh
rõ_ràng | không rõ_ràng | nhất_quán | không nhất_quán
rõ_ràng | không rõ_ràng | thuyết_phục | thiếu thuyết_phục
rõ_ràng | không rõ_ràng | thuận_tiện | bất_tiện
rõ_ràng | không rõ_ràng | quyết_định | chưa quyết_định
rõ_ràng | không rõ_ràng | hiệu_quả | không hiệu_quả
rõ_ràng | không rõ_ràng | đạo_đức | phi đạo_đức
rõ_ràng | không rõ_ràng | may_mắn | không may
rõ_ràng | không rõ_ràng | trung_thực | Không trung_thực
rõ_ràng | không rõ_ràng | ấn_tượng | không ấn_tượng
rõ_ràng | không rõ_ràng | thông_tin | không thông_tin
rõ_ràng | không rõ_ràng | thông_báo | không hiểu
rõ_ràng | không rõ_ràng | logic | phi logic
rõ_ràng | không rõ_ràng | dễ_chịu | khó_chịu
rõ_ràng | không rõ_ràng | có_thể | không_thể tưởng_tượng được
rõ_ràng | không rõ_ràng | năng_suất | không hiệu_quả
rõ_ràng | không rõ_ràng | hợp_lý | không hợp_lý
rõ_ràng | không rõ_ràng | chắc_chắn | không chắc_chắn
rõ_ràng | không rõ_ràng | trang_nhã | phiền_nhiễu
rõ_ràng | không rõ_ràng | nhận_thức | không biết |
rõ_ràng | không rõ_ràng | nhất_định | không chắc_chắn
thoải_mái | khó_chịu | cạnh_tranh | không cạnh_tranh
thoải_mái | khó_chịu | nhất_quán | không nhất_quán
thoải_mái | khó_chịu | thuyết_phục | thiếu thuyết_phục
thoải_mái | khó_chịu | thuận_tiện | bất_tiện
thoải_mái | khó_chịu | quyết_định | chưa quyết_định
thoải_mái | khó_chịu | hiệu_quả | không hiệu_quả
thoải_mái | khó_chịu | đạo_đức | phi đạo_đức
thoải_mái | khó_chịu | may_mắn | không may
thoải_mái | khó_chịu | trung_thực | Không trung_thực
thoải_mái | khó_chịu | ấn_tượng | không ấn_tượng
thoải_mái | khó_chịu | thông_tin | không thông_tin
thoải_mái | khó_chịu | thông_báo | không hiểu
thoải_mái | khó_chịu | logic | phi logic
thoải_mái | khó_chịu | dễ_chịu | khó_chịu
thoải_mái | khó_chịu | có_thể | không_thể tưởng_tượng được
thoải_mái | khó_chịu | năng_suất | không hiệu_quả
thoải_mái | khó_chịu | hợp_lý | không hợp_lý
thoải_mái | khó_chịu | chắc_chắn | không chắc_chắn
thoải_mái | khó_chịu | trang_nhã | phiền_nhiễu
thoải_mái | khó_chịu | nhận_thức | không biết |
thoải_mái | khó_chịu | nhất_định | không chắc_chắn
thoải_mái | khó_chịu | rõ_ràng | không rõ
cạnh_tranh | không cạnh_tranh | nhất_quán | không nhất_quán
cạnh_tranh | không cạnh_tranh | thuyết_phục | thiếu thuyết_phục
cạnh_tranh | không cạnh_tranh | thuận_tiện | bất_tiện
cạnh_tranh | không cạnh_tranh | quyết_định | chưa quyết_định
cạnh_tranh | không cạnh_tranh | hiệu_quả | không hiệu_quả
cạnh_tranh | không cạnh_tranh | đạo_đức | phi đạo_đức
cạnh_tranh | không cạnh_tranh | may_mắn | không may
cạnh_tranh | không cạnh_tranh | trung_thực | Không trung_thực
cạnh_tranh | không cạnh_tranh | ấn_tượng | không ấn_tượng
cạnh_tranh | không cạnh_tranh | thông_tin | không thông_tin
cạnh_tranh | không cạnh_tranh | thông_báo | không hiểu
cạnh_tranh | không cạnh_tranh | logic | phi logic
cạnh_tranh | không cạnh_tranh | dễ_chịu | khó_chịu
cạnh_tranh | không cạnh_tranh | có_thể | không_thể tưởng_tượng được
cạnh_tranh | không cạnh_tranh | năng_suất | không hiệu_quả
cạnh_tranh | không cạnh_tranh | hợp_lý | không hợp_lý
cạnh_tranh | không cạnh_tranh | chắc_chắn | không chắc_chắn
cạnh_tranh | không cạnh_tranh | trang_nhã | phiền_nhiễu
cạnh_tranh | không cạnh_tranh | nhận_thức | không biết
cạnh_tranh | không cạnh_tranh | nhất_định | không chắc_chắn
cạnh_tranh | không cạnh_tranh | rõ_ràng | không rõ
cạnh_tranh | không cạnh_tranh | thoải_mái | khó_chịu
thuyết_phục | thiếu thuyết_phục | thuận_tiện | bất_tiện
thuyết_phục | thiếu thuyết_phục | quyết_định | chưa quyết_định
thuyết_phục | thiếu thuyết_phục | hiệu_quả | không hiệu_quả
thuyết_phục | thiếu thuyết_phục | đạo_đức | phi đạo_đức
thuyết_phục | thiếu thuyết_phục | may_mắn | không may
thuyết_phục | thiếu thuyết_phục | trung_thực | Không trung_thực
thuyết_phục | thiếu thuyết_phục | ấn_tượng | không ấn_tượng
thuyết_phục | thiếu thuyết_phục | thông_tin | không thông_tin
thuyết_phục | thiếu thuyết_phục | thông_báo | không hiểu
thuyết_phục | thiếu thuyết_phục | logic | phi logic
thuyết_phục | thiếu thuyết_phục | dễ_chịu | khó_chịu
thuyết_phục | thiếu thuyết_phục | có_thể | không_thể tưởng_tượng được
thuyết_phục | thiếu thuyết_phục | năng_suất | không hiệu_quả
thuyết_phục | thiếu thuyết_phục | hợp_lý | không hợp_lý
thuyết_phục | thiếu thuyết_phục | chắc_chắn | không chắc_chắn
thuyết_phục | thiếu thuyết_phục | trang_nhã | phiền_nhiễu
thuyết_phục | thiếu thuyết_phục | nhận_thức | không biết
thuyết_phục | thiếu thuyết_phục | nhất_định | không chắc_chắn
thuyết_phục | thiếu thuyết_phục | rõ_ràng | không rõ
thuyết_phục | thiếu thuyết_phục | thoải_mái | khó_chịu
thuyết_phục | thiếu thuyết_phục | cạnh_tranh | không cạnh_tranh
thuyết_phục | thiếu thuyết_phục | nhất_quán | không nhất_quán
thuận_tiện | bất_tiện | quyết_định | chưa quyết_định
thuận_tiện | bất_tiện | hiệu_quả | không hiệu_quả
thuận_tiện | bất_tiện | đạo_đức | phi đạo_đức
thuận_tiện | bất_tiện | may_mắn | không may
thuận_tiện | bất_tiện | trung_thực | Không trung_thực
thuận_tiện | bất_tiện | ấn_tượng | không ấn_tượng
thuận_tiện | bất_tiện | thông_tin | không thông_tin
thuận_tiện | bất_tiện | thông_báo | không hiểu
thuận_tiện | bất_tiện | logic | phi logic
thuận_tiện | bất_tiện | dễ_chịu | khó_chịu
thuận_tiện | bất_tiện | có_thể | không_thể tưởng_tượng được
thuận_tiện | bất_tiện | năng_suất | không hiệu_quả
thuận_tiện | bất_tiện | hợp_lý | không hợp_lý
thuận_tiện | bất_tiện | chắc_chắn | không chắc_chắn
thuận_tiện | bất_tiện | trang_nhã | phiền_nhiễu
thuận_tiện | bất_tiện | nhận_thức | không biết
thuận_tiện | bất_tiện | nhất_định | không chắc_chắn
thuận_tiện | bất_tiện | rõ_ràng | không rõ
thuận_tiện | bất_tiện | thoải_mái | khó_chịu
thuận_tiện | bất_tiện | cạnh_tranh | không cạnh_tranh
thuận_tiện | bất_tiện | nhất_quán | không nhất_quán
thuận_tiện | bất_tiện | thuyết_phục | thiếu thuyết_phục
quyết_định | chưa quyết_định | hiệu_quả | không hiệu_quả
quyết_định | chưa quyết_định | đạo_đức | phi đạo_đức
quyết_định | chưa quyết_định | may_mắn | không may
quyết_định | chưa quyết_định | trung_thực | Không trung_thực
quyết_định | chưa quyết_định | ấn_tượng | không ấn_tượng
quyết_định | chưa quyết_định | thông_tin | không thông_tin
quyết_định | chưa quyết_định | thông_báo | không hiểu
quyết_định | chưa quyết_định | logic | phi logic
quyết_định | chưa quyết_định | dễ_chịu | khó_chịu
quyết_định | chưa quyết_định | có_thể | không_thể tưởng_tượng được
quyết_định | chưa quyết_định | năng_suất | không hiệu_quả
quyết_định | chưa quyết_định | hợp_lý | không hợp_lý
quyết_định | chưa quyết_định | chắc_chắn | không chắc_chắn
quyết_định | chưa quyết_định | trang_nhã | phiền_nhiễu
quyết_định | chưa quyết_định | nhận_thức | không biết
quyết_định | chưa quyết_định | nhất_định | không chắc_chắn
quyết_định | chưa quyết_định | rõ_ràng | không rõ
quyết_định | chưa quyết_định | thoải_mái | khó_chịu
quyết_định | chưa quyết_định | cạnh_tranh | không cạnh_tranh
quyết_định | chưa quyết_định | nhất_quán | không nhất_quán
quyết_định | chưa quyết_định | thuyết_phục | thiếu thuyết_phục
quyết_định | chưa quyết_định | thuận_tiện | bất_tiện
hiệu_quả | không hiệu_quả | đạo_đức | phi đạo_đức
hiệu_quả | không hiệu_quả | may_mắn | không may
hiệu_quả | không hiệu_quả | trung_thực | Không trung_thực
hiệu_quả | không hiệu_quả | ấn_tượng | không ấn_tượng
hiệu_quả | không hiệu_quả | thông_tin | không thông_tin
hiệu_quả | không hiệu_quả | thông_báo | không hiểu
hiệu_quả | không hiệu_quả | logic | phi logic
hiệu_quả | không hiệu_quả | dễ_chịu | khó_chịu
hiệu_quả | không hiệu_quả | có_thể | không_thể tưởng_tượng được
hiệu_quả | không hiệu_quả | năng_suất | không hiệu_quả
hiệu_quả | không hiệu_quả | hợp_lý | không hợp_lý
hiệu_quả | không hiệu_quả | chắc_chắn | không chắc_chắn
hiệu_quả | không hiệu_quả | trang_nhã | phiền_nhiễu
hiệu_quả | không hiệu_quả | nhận_thức | không biết
hiệu_quả | không hiệu_quả | nhất_định | không chắc_chắn
hiệu_quả | không hiệu_quả | rõ_ràng | không rõ
hiệu_quả | không hiệu_quả | thoải_mái | khó_chịu
hiệu_quả | không hiệu_quả | cạnh_tranh | không cạnh_tranh
hiệu_quả | không hiệu_quả | nhất_quán | không nhất_quán
hiệu_quả | không hiệu_quả | thuyết_phục | thiếu thuyết_phục
hiệu_quả | không hiệu_quả | thuận_tiện | bất_tiện
hiệu_quả | không hiệu_quả | quyết_định | chưa quyết_định
đạo_đức | phi đạo_đức | may_mắn | không may
đạo_đức | phi đạo_đức | trung_thực | Không trung_thực
đạo_đức | phi đạo_đức | ấn_tượng | không ấn_tượng
đạo_đức | phi đạo_đức | thông_tin | không thông_tin
đạo_đức | phi đạo_đức | thông_báo | không hiểu
đạo_đức | phi đạo_đức | logic | phi logic
đạo_đức | phi đạo_đức | dễ_chịu | khó_chịu
đạo_đức | phi đạo_đức | có_thể | không_thể tưởng_tượng được
đạo_đức | phi đạo_đức | năng_suất | không hiệu_quả
đạo_đức | phi đạo_đức | hợp_lý | không hợp_lý
đạo_đức | phi đạo_đức | chắc_chắn | không chắc_chắn
đạo_đức | phi đạo_đức | trang_nhã | phiền_nhiễu
đạo_đức | phi đạo_đức | nhận_thức | không biết
đạo_đức | phi đạo_đức | nhất_định | không chắc_chắn
đạo_đức | phi đạo_đức | rõ_ràng | không rõ
đạo_đức | phi đạo_đức | thoải_mái | khó_chịu
đạo_đức | phi đạo_đức | cạnh_tranh | không cạnh_tranh
đạo_đức | phi đạo_đức | nhất_quán | không nhất_quán
đạo_đức | phi đạo_đức | thuyết_phục | thiếu thuyết_phục
đạo_đức | phi đạo_đức | thuận_tiện | bất_tiện
đạo_đức | phi đạo_đức | quyết_định | chưa quyết_định
đạo_đức | phi đạo_đức | hiệu_quả | không hiệu_quả
may_mắn | không may | trung_thực | Không trung_thực
may_mắn | không may | ấn_tượng | không ấn_tượng
may_mắn | không may | thông_tin | không thông_tin
may_mắn | không may | thông_báo | không hiểu
may_mắn | không may | logic | phi logic
may_mắn | không may | dễ_chịu | khó_chịu
may_mắn | không may | có_thể | không_thể tưởng_tượng được
may_mắn | không may | năng_suất | không hiệu_quả
may_mắn | không may | hợp_lý | không hợp_lý
may_mắn | không may | chắc_chắn | không chắc_chắn
may_mắn | không may | trang_nhã | phiền_nhiễu
may_mắn | không may | nhận_thức | không biết
may_mắn | không may | nhất_định | không chắc_chắn
may_mắn | không may | rõ_ràng | không rõ
may_mắn | không may | thoải_mái | khó_chịu
may_mắn | không may | cạnh_tranh | không cạnh_tranh
may_mắn | không may | nhất_quán | không nhất_quán
may_mắn | không may | thuyết_phục | thiếu thuyết_phục
may_mắn | không may | thuận_tiện | bất_tiện
may_mắn | không may | quyết_định | chưa quyết_định
may_mắn | không may | hiệu_quả | không hiệu_quả
may_mắn | không may | đạo_đức | phi đạo_đức
trung_thực | không trung_thực | ấn_tượng | không ấn_tượng
trung_thực | không trung_thực | thông_tin | không thông_tin
trung_thực | không trung_thực | thông_báo | không hiểu
trung_thực | không trung_thực | logic | phi logic
trung_thực | không trung_thực | dễ_chịu | khó_chịu
trung_thực | không trung_thực | có_thể | không_thể tưởng_tượng được
trung_thực | không trung_thực | năng_suất | không hiệu_quả
trung_thực | không trung_thực | hợp_lý | không hợp_lý
trung_thực | không trung_thực | chắc_chắn | không chắc_chắn
trung_thực | không trung_thực | trang_nhã | phiền_nhiễu
trung_thực | không trung_thực | nhận_thức | không biết
trung_thực | không trung_thực | nhất_định | không chắc_chắn
trung_thực | không trung_thực | rõ_ràng | không rõ
trung_thực | không trung_thực | thoải_mái | khó_chịu
trung_thực | không trung_thực | cạnh_tranh | không cạnh_tranh
trung_thực | không trung_thực | nhất_quán | không nhất_quán
trung_thực | không trung_thực | thuyết_phục | thiếu thuyết_phục
trung_thực | không trung_thực | thuận_tiện | bất_tiện
trung_thực | không trung_thực | quyết_định | chưa quyết_định
trung_thực | không trung_thực | hiệu_quả | không hiệu_quả
trung_thực | không trung_thực | đạo_đức | phi đạo_đức
trung_thực | không trung_thực | may_mắn | không may
ấn_tượng | không ấn_tượng | thông_tin | không thông_tin
ấn_tượng | không ấn_tượng | thông_báo | không hiểu
ấn_tượng | không ấn_tượng | logic | phi logic
ấn_tượng | không ấn_tượng | dễ_chịu | khó_chịu
ấn_tượng | không ấn_tượng | có_thể | không_thể tưởng_tượng được
ấn_tượng | không ấn_tượng | năng_suất | không hiệu_quả
